galaxy,include,in_CHANG-ES_XXII_Krause2020,in_Myserlis+2021_ellipse,RA,Dec,RA_short,Dec_short,Hyperleda_pa[deg],PA_fine_tunig_hyperleda_ref,applied_rot_standard,PA[not_used],PA_fine_tuning[not_used],Quadrant_Blueshift,extra_rot,rotate_to_horizontal[deg],rotate_to_horizontal[deg]_CHANGES_XXII,d[Mpc],rm_mean,rm_std,freq_txt_C,Q_fits_C,U_fits_C,D_C_rob0_total_intensity,D_C_rob0_total_intensity_addedBeam,D_C_rob0_total_intensity_addedBeam_regrid_to_QU,D_C_total_int_labeled_mask,D_C_rob0_total_intensity_BMAJ,D_C_rob0_total_intensity_BMIN,D_C_rob0_total_intensity_BPA,comment,CHANG-ES_XXII_exclude_comment,Comment_Jayanne,Coord_String,planck_pi_pixval,dict_key,freqs_list_c,Name,S22,F22,Diam1,Diam2,SFR,SigSFR,e_SigSFR,SC,e_SC,SL,e_SL,_RA,_DE,D_C_rob0_total_intensity_BMAJ_kpc,total_int_BMAJ_scaled_arcsec,total_int_beam_scale_fac,mapping_to_reference_C,qu_BMAJ_arcsec,qu_pix_dim_arcsec,qu_BMAJ_kpc,qu_res_diameter_ratio_kpc,diam_qu_BMAJ_ratio,include_angular,target_res_angular,target_res_angular_highres,include_physical
NGC 891,yes,yes,yes,02h22m33.4138s,+42d20m56.924s,02h22m33.4s,+42d20m56.9s,22.0,-2.0,66.0,25,1,NE,no,66.0,66.0,9.1,-72.9,11.0,[DATA_PATH]/rm_data/NGC891/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC891/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC891/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N891_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N891_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N891_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N891_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.0,8.81,-79.46,,,CHANG-ES XXII Table 5. Garcia-Burillo & Guelin (1995),02h22m33.4138s+42d20m56.924s,,n891,"[5042348337.684, 5170357142.035, 5298365946.386, 5426374750.737, 5554383555.088, 5682392359.439, 5810401163.791, 5938409968.142, 6060418359.789, 6316435968.491, 6444444772.843, 6572453577.194, 6700462381.545, 6828471185.896, 6956479990.247]",NGC 891,5.9,8.04,9.5,25.1,1.55,3.13,0.02,208.7,6.9,743.9,14.9,35.63921,42.34914,0.39706240508069357,10.92315789473684,1.2136842105263157,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15]",11.9999998527012,"[-1.50000000000012, 1.50000000000012]",0.5294165338703726,47.41068401567097,47.50000058305776,True,38.0,30.0,True
NGC 2613,yes,yes,no,08h33m22.7893s,-22d58m25.185s,08h33m22.8s,-22d58m25.2s,113.5,-0.5,-24.0,113,-1,NW,yes,156.0,-24.0,23.4,248.025,74.0,[DATA_PATH]/rm_data/NGC2613/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC2613/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC2613/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N2613_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N2613_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N2613_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N2613_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,15.42,8.3,-11.05,,,Irwin & Chaves 2003,08h33m22.7893s-22d58m25.185s,,n2613,"[5041813188.223, 5169808382.43, 5297803576.637, 5425798770.844, 5553793965.051, 5681789159.258, 5809784353.465, 5937779547.672, 6059774967.15, 6187770161.357, 6315765355.564, 6443760549.771, 6571755743.978, 6699750938.185, 6827746132.392, 6955741326.599]",NGC 2613,0.99,1.35,4.95,33.7,1.73,1.94,0.02,15.3,0.3,59.6,2.4,128.34517,-22.97367,1.7493435125328263,35.91769696969696,2.329292929292929,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.000000938245199,"[-1.50000000000012, 1.50000000000012]",1.3613569245320187,24.754713031326993,24.749998064869427,True,19.8,15.631578947368421,True
NGC 2683,yes,yes,yes,08h52m41.3278s,+33d25m18.260s,08h52m41.3s,+33d25m18.3s,43.6,2.6,49.0,41,0,NE,no,49.0,49.0,6.27,14.7,3.8,[DATA_PATH]/rm_data/NGC2683/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC2683/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC2683/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N2683_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N2683_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N2683_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N2683_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.36,8.76,11.71,,,,08h52m41.3278s+33d25m18.260s,,n2683,"[5041995856.519, 5169995748.888, 5297995641.257, 5425995533.626, 5553995425.995, 5681995318.364, 5809995210.734, 5937995103.103, 6059995000.517, 6187994892.886, 6315994785.255, 6443994677.624, 6571994569.993, 6699994462.363, 6827994354.732, 6955994247.101]",NGC 2683,0.74,1.01,5.15,9.39,0.09,1.34,0.02,20.3,0.8,66.6,6.5,133.17229,33.42181,0.28452357485541385,20.955495145631065,2.2388349514563104,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.000000413343601,"[-1.50000000000012, 1.50000000000012]",0.3647738266431008,25.741978492298166,25.749999113033553,True,20.6,16.263157894736842,True
NGC 2820,yes,yes,no,09h21m45.5800s,+64d15m28.600s,09h21m45.6s,+64d15m28.6s,61.1,0.0,28.9,65,0,SW,yes,-155.0,25.0,26.5,-15.40527,2.6235778,[DATA_PATH]/rm_data/NGC2820/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC2820/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC2820/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N2820_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N2820_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N2820_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N2820_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.84,8.91,-3.81,to small (apparent size),,CHANG-ES XXII,09h21m45.5800s+64d15m28.600s,,n2820,"[5041830095.811, 5169825724.796, 5297821353.781, 5425816982.766, 5553812611.751, 5681808240.736, 5809803869.722, 5937799498.707, 6059795332.583, 6187790961.568, 6315786590.553, 6443782219.539, 6571777848.524, 6699773477.509, 6827769106.494, 6955764735.479]",NGC 2820,0.28,3.8,1.78,13.8,0.62,4.2,0.02,19.1,0.4,61.8,1.2,140.43992,64.25794,1.2642001558202611,63.73887640449438,6.47752808988764,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000003523632,"[-1.50000000000012, 1.50000000000012]",1.541707552937781,8.951113960428868,8.899999738663967,False,7.12,5.621052631578947,True
NGC 3003,yes,yes,no,09h48m36.1872s,+33d25m17.749s,09h48m36.2s,+33d25m17.7s,78.8,0.799999999999997,12.0,79,1,NE,no,12.0,12.0,25.4,18.8,4.2,[DATA_PATH]/rm_data/NGC3003/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3003/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3003/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3003_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3003_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3003_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3003_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.37,8.93,-67.02,,,,09h48m36.1872s+33d25m17.749s,,n3003,"[5041833238.44, 5169828903.441, 5297824568.442, 5425820233.443, 5553815898.444, 5681811563.445, 5809807228.446, 5937802893.447, 6059798761.651, 6187794426.651, 6315790091.652, 6443785756.653, 6571781421.654, 6699777086.655, 6827772751.656, 6955768416.657]",NGC 3003,0.33,4.46,3.75,27.7,0.67,1.11,0.02,10.8,0.5,34.9,0.7,147.15021,33.4215,1.1538468655607723,28.809626666666663,3.0746666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.000000292272,"[-1.50000000000012, 1.50000000000012]",1.4777121376801954,18.745193528345233,18.74999954332501,True,15.0,11.842105263157896,True
NGC 3044,yes,yes,yes,09h53m40.8800s,+01d34m46.700s,09h53m40.9s,+01d34m46.7s,114.3,-0.700000000000003,-25.0,114,-1,NW,yes,155.0,-25.0,20.3,-8.2,6.6,[DATA_PATH]/rm_data/NGC3044/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3044/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3044/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3044_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3044_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3044_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3044_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,10.68,9.59,-5.08,,,,09h53m40.8800s+01d34m46.700s,,n3044,"[5041857990.175, 5169854287.723, 5297850585.271, 5425846882.819, 5553843180.366, 5681839477.914, 5809835775.462, 5937832073.009, 6059828544.109, 6187824841.657, 6315821139.205, 6443817436.752, 6571813734.3, 6699810031.848, 6827806329.396, 6955802626.943]",NGC 3044,0.73,9.91,3.07,18.1,0.95,3.7,0.02,37.5,0.9,104.2,2.1,148.42033,1.57964,1.0510954541320374,40.11087947882736,3.755700325732899,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.000000264044399,"[-1.50000000000012, 1.50000000000012]",1.18100615450176,15.325915052183605,15.349999662243214,True,12.28,9.694736842105263,True
NGC 3079,yes,yes,yes,10h01m57.8034s,+55d40m47.242s,10h01m57.8s,+55d40m47.2s,166.2,-2.80000000000001,-79.0,170,1,NW,yes,113.0,-79.0,20.6,2.8,1.7,[DATA_PATH]/rm_data/NGC3079/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3079/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3079/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3079_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3079_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3079_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3079_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.32,8.72,-13.89,,,,10h01m57.8034s+55d40m47.242s,,n3079,"[5041821023.759, 5169816418.892, 5297811814.024, 5425807209.157, 5553802604.29, 5681797999.422, 5809793394.555, 5937788789.688, 6059784400.674, 6187779795.806, 6315775190.939, 6443770586.072, 6571765981.205, 6699761376.337, 6827756771.47, 6955752166.603]",NGC 3079,2.56,3.5,4.33,26.0,3.46,6.54,0.02,365.4,7.3,811.0,16.2,150.49083,55.67981,0.930803483269279,24.81745958429561,2.662817551963048,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.000000094128,"[-1.50000000000012, 1.50000000000012]",1.1984594304556058,21.694518261761978,21.649999830177403,True,17.32,13.673684210526316,True
NGC 3432,yes,yes,yes,10h52m31.1300s,+36d37m07.600s,10h52m31.1s,+36d37m07.6s,33.0,-9.0,48.0,43,1,NE,no,42.0,48.0,9.42,11.5,2.9,[DATA_PATH]/rm_data/NGC3432/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3432/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3432/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3432_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3432_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3432_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3432_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,11.94,9.97,3.43,,,"mail from Jayanne, NE approaching",10h52m31.1300s+36d37m07.600s,,n3432,"[5041831238.357, 5169826895.078, 5297822551.799, 5425818208.52, 5553813865.24, 5681809521.961, 5809805178.682, 5937800835.403, 6059796695.715, 6187792352.436, 6315788009.157, 6443783665.877, 6571779322.598, 6699774979.319, 6827770636.04, 6955766292.761]",NGC 3432,0.54,7.42,3.63,9.96,0.15,1.97,0.02,26.3,0.5,83.3,1.9,163.12971,36.61878,0.5452932188096584,37.925123966942145,3.1763085399449036,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11.999999415222,"[-1.50000000000012, 1.50000000000012]",0.5480333590380287,18.17407615018717,18.150000884476768,True,14.52,11.463157894736842,True
NGC 3448,yes,yes,yes,10h54m39.2000s,+54d18m17.500s,10h54m39.2s,+54d18m17.5s,64.8,-4.0,21.2,65,0,SW,yes,-155.0,25.0,24.5,9.3,1.8,[DATA_PATH]/rm_data/NGC3448/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3448/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3448/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3448_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3448_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3448_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3448_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.1,8.6,3.4,to small (apparent size),,Messy to measure. Checked Bottinelli+1978 and should only use the middle bit. So T.5 in CH XXII is incorrect.,10h54m39.2000s+54d18m17.500s,,n3448,"[5041821994.871, 5169817415.122, 5297812835.372, 5425808255.622, 5553803675.872, 5681799096.122, 5937789936.623, 6059785571.549, 6187780991.799, 6315776412.049, 6443771832.3, 6571767252.55, 6699762672.8, 6827758093.05, 6955753513.301]",NGC 3448,0.48,6.59,1.75,12.5,0.92,7.55,0.02,20.5,0.4,46.0,0.9,163.6635,54.30522,1.080892102734994,59.955999999999996,6.588571428571428,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000003421464,"[-1.50000000000012, 1.50000000000012]",1.425352264710064,8.76976191043038,8.749999750518256,False,7.0,5.526315789473684,True
NGC 3556,yes,yes,yes,11h11m30.9700s,+55d40m26.800s,11h11m31.0s,+55d40m26.8s,79.0,-2.0,9.0,82,1,NE,no,9.0,9.0,14.09,11.0,2.2,[DATA_PATH]/rm_data/NGC3556/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3556/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3556/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3556_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3556_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3556_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3556_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.2,8.7,7.6,,,,11h11m30.9700s+55d40m26.800s,,n3556,"[5041831557.532, 5169827223.772, 5297822890.012, 5425818556.252, 5553814222.492, 5681809888.733, 5937801221.213, 6059797090.598, 6187792756.838, 6315788423.079, 6443784089.319, 6571779755.559, 6699775421.799, 6827771088.04, 6955766754.28]",NGC 3556,3.43,4.68,6.08,24.9,2.17,4.44,0.02,79.2,4.7,291.5,5.8,167.87904,55.67411,0.6284542789654214,17.446710526315787,1.8963815789473684,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000006857808,"[-1.50000000000012, 1.50000000000012]",0.8197230197906816,30.37611412493732,30.399998262688744,True,24.32,19.2,True
